ID,text,round,result,id,group,label
18,首先声明，本人非其他网店枪手，不是为了诋毁卓越……只想说明一点，本人从卓越购买图书已有很多，对于服务和质量都是比较认可的。但是这次订购的三联出版社的《围城》的确是纸张质量比较差，而且图书切纸毛边严重，里面印刷不整齐。而另购的《写在人生边上》质量就比较好。我在特殊事项说明特意强调过：保证图书洁净、正版、无破损，这本《围城》令我十分不满意……仅此……,82,1,5,E,0
19,不得不说，我也承认我老公说的，黑背老婆的确可爱！虽然他们看似“宅”，但不失运动神经及人际关系，宅的有价值，宅的可爱~我和老公看的笑到流泪也~,61,0,5,E,0
20,由“北京新天地娱动科技有限公司”制作的这套MP3，中文翻译错漏百出，有的在MP3上有的句子，中文没有翻译出来，有的MP3上根本没有的，翻译又无中生有多出一句，有的是一个句子只翻译半句……总之随便那一页都可以找到10个8个错处。这样的产品居然能在卓越网销售，我感到非常失望。,37,0,5,E,0
21,胡猛 当我在电视上看到你那奖的时后真是替你高兴不过哪天晚上对你来说实在是一个天的的玩笑啊  不过我个好的结局我很高兴 希望能很快的听到你门的 新歌,6,1,5,E,0
22,JACK的歌怎么都好听，百听不厌~~~~,12,1,5,E,0
23,很有针对性、实用性。,91,1,5,E,0
24,"前几天订购这机子.配送公司答应下午四五点送到,我就跑过来等.还是没送过来.我打电话问了,配送员说没空不送.明天或后天有空送.配送员态度极差,说没答应这一回事.早上明明答应了,还说我爱送就送.配送公司态度怎么会这样子?没见过这种送货的?买东西还受罪~~",33,0,5,E,0
25,JOYO总是这样啊，无论是谁只要买了东西这东西立刻就会减价，然后呢，然后就是国庆搞活动，昨天拿到书，黑了我5块运费今天就免运费了，JOYO可真黑啊。搞活动应该提前通知几天吧。真不要FACE·！,27,0,5,E,0
26,感觉挺一般，不是很好听，也可能买到家里的东西就不觉得好吧,20,0,5,E,0
27,上个星期买了这本书，发现纸张都是灰色的，然后去了书店，发现书店原价书的纸张是微黄的，而且不是光滑的铜版纸。我非常气愤。,50,0,5,E,0
28,看到介绍的车模那么漂亮还是抱尧幸心理，但真的受骗了，只有一个不是一般难看的玩偶，真不爽啊.骗人的干嘛还放在网上.,53,0,5,E,0
29,因为作者是外国人，所以介绍了一些摄影器材的网站都是外国的！我感觉这本书的实用性一点都不强，建议千万别买。而且很多说废话的章节，有机会随便翻一下这本书就好！买了不划算,11,0,5,E,0
30,碟的包装爆了~,7,0,5,E,0
31,现在的书真是贵，就那么几页纸还要这么多钱难怪说现在买书可赚钱了现在金融危机什么都不景气可能去卖书是条不错的出路,60,1,5,E,0
32,你们的宣传推广页上这个的价钱是49，怎么这是59呢？,16,0,5,E,0
33,这是新东方教师极力推荐的一本英语读本，听说翻译完这本书最后的三十篇文章，你的英语写作水平可以提高一个档次。我是一个十分认同英语对人生很重要的人，我问过好多人了，他们都说这本书十分不错。不信我，也应该相信：群众的眼光是雪亮的！,24,1,5,E,0
34,"东西好,价格实惠.",3,1,5,E,0
35,"既没歌词,歌的排列和图片不一样",36,0,5,E,0
36,教练气质很好,55,1,5,E,0
37,看看人家够多网等网站的速度，人家今天就有货了，并且下午3点付款都能保证今天发货，而你们的还是预售，真受不了，不知道你们什么时候能提高速度？,44,0,5,E,0
38,"尽管只看了几部,但感觉很好,清晰,纯正.",81,1,5,E,0
39,"很喜欢,虽然很奇怪",70,0,5,E,0
40,看芭蕾，就要看俄罗斯人的版本！其他版本往往令人。。。 。。。；哪怕柴可夫斯基仅仅创作这一部作品，他也仍然是一个世界级的天才。如果一个人从未看过《天鹅湖》，那么他或者她就难以看出当今的某些“艺术家”在多大程度上只是一些小丑罢了，尽管这些小丑借助于电视电台和电影对他们的吹捧而大赚其钱（一年就上千万！）  音乐美， 舞蹈美， 故事情节有一种童话之美 ！！！,32,1,5,E,0
41,"本来说2-5天内有货的,赶着生日提前一个礼拜买了结果生日那天通知我没货,要再过5天可能才有货真是非常不愉快[已经在订单中详细写明希望生日前送到的]不得已只能退了在卓越购物感觉只能买现在有货的物品之前买了另外一本2-5天内有货的书结果等了一个月,唉",79,0,5,E,0
42,"这是一款比盗版还差劲的正版,还请JOYO少进这种货",28,0,5,E,0
43,新到的手机当时收货时候没好好看，现在发现手机里有陌生的联系人 什么办公室，娟姐，不知道是怎么回事，难道卓越卖翻新货吗？翻新也翻得专业点啊联系人都不删呢？要求尽快给我答复！,68,0,5,E,0
44,好喜欢的，不知道效果怎麽养呀,23,0,5,E,0
45,由于设计上的缺陷，诺基亚蓝牙耳机的听筒部分太短，无法很紧密地戴在耳朵上。强烈建议可能的话，先试过能否适合自己佩戴，再选择购买。,73,0,5,E,0
46,"老师讲的课用的不是普通话,台湾的国语,不适合孩子听.希望能注明.方法很不错.",94,0,5,E,0
47,画质极差 字幕不可消！,93,0,5,E,0
48,终于上架啦~~HOHO..,58,1,5,E,0
49,"很适合女士，对功能要求并不多的女士用。缺点就是内存小了些,最好再随机配戴数据线就好了.",54,1,5,E,0
50,很喜欢这个故事，但是觉得故事发展到后面有一点点牵强。但是很喜欢匪我思存的作品，如果可以多一点大团圆结局的书就好了~,5,1,5,E,0
51,声音怎么这么小呀?竖起耳朵听都不行，怎么会这样？让人很失望！,63,0,5,E,0
52,其实东西都很好饿,1,1,5,E,0
53,只要看看楼下那位仁兄的说话方式，就可以知道他的性格了。什么叫枪手，又不是*星和*巴斯基，南上人还需要枪手么？？这样的性格，自然不懂欣赏此书。所以大家千万不要受影响，平凡的智慧是那些自命精英的人无法体会的。,57,1,5,E,0
54,既然K858上市了，那K818也该调价为858让路吧，期待中,34,1,5,E,0
55,"没想到剃刀最烂的一张专辑会引进。专辑首周英国第4，以70码速度下滑出榜，与第2张同名的成绩实在相差甚远。要说原因，Wire To Wire虽然还算个能听的歌，但作为专辑首单实在欠了火候，或者说这不是我们最喜欢的那个剃刀；包括剃刀在内的这批英国乐队，Snow Patrol、Keane、Kaiser Chiefs去年纷纷都出了新砖，几只乐队都几乎同时在走下坡路，很明显，已经过了巅峰；再说这张专辑本身除了首单，压根没几个能听进去的哥儿，North London Trash还算其中凑合的。相对他们第2张，Who Needs Love?,America,Fall To Pieces等流行度可行性都俱佳的单曲，此碟大flop也情理之中。Q不是神，NME也不是。“内容介绍”那一栏里请少用这些东西忽悠人。",62,1,5,E,0
56,自动查杀病毒，资源占用小，内存占用率比较低.,4,1,5,E,0
57,"质量不错!这个价格两个背包,值了~",87,1,5,E,0
58,"劝大家不要买这个,质量极差,都是别人用过的,关键是文件被加了密,没法看都.买别的版本吧.",64,1,5,E,0
59,很精致，性价比比较高，哈哈，阅读和收藏都不错哦,19,1,5,E,0
60,"我在卓越买的金立N8用了一个星期就出现白屏,无法使用,到金立售后服务点证实如此!希望卓越网能快速解决问题,了解顾客急切的心理,提供简便的服务,不要再拖延.这样才能取信于顾客,以求长远发展!订单号: #509941105",78,1,5,E,0
61,直到最后一章，才有实例。跟hlp文档没有什么区别。,25,1,5,E,0
62,"我是长沙的,定了该香水,选择的货到付款,可是卓越不但不给我送货,还取消了我的定单,说什么未付款自动取消定单,这是什么意思?!还有一张定电脑吸尘器的,已经被取消2次了,卓越请给个答复!!!",83,0,5,E,0
63,看到这么多好评，所以买来看，实在是很失望，估计好评的人都是托儿。作者功力不足，看来只想凑热闹赚钱，模范当年明月的草根写法，却重点不写正史，感觉比较乱，内容太浅白；没有一线贯穿的历史事件和人物，如果想了解正史，不推荐此书，如果当本闲书消磨时间，订价未免太贵。,38,1,5,E,0
64,"我买的是还以为是书，买了回来之后才知道是DVD,所以希望以后在项目栏写清楚是书还是DVD",99,0,5,E,0
65,"威尔史密斯的片子不能多看,有些走穴之嫌疑.",26,0,5,E,0
66,音质不好，有杂音，完全没有CD应有的品质，倒像是在听磁带！,77,0,5,E,0
67,1.确实是d9，用的ifpi线下来的正版片基，还行。2.由于是pal制的电视画面，有点闪烁感。开始出来的片头字幕象是虚线构成的，被这种画质吓了一跳。到正片时看起来好些了，比vcd画质要略好。但显然没到dvd的正常水准，离高清晰更是差远了。83年的电视版，而且一张碟放了5集，以第一碟为例长达3小时08分种，这个vcd+的画质本来是预料中的，炒作成高清过头了。3. 所谓dd5.1，是假dd5.1，拿原始2声道转的。居然5个声道都出对白。其实老老实实做dd2.0算了。4. 偷懒，没做任何字幕。浪费了dvd可选择多字幕的优势。5. 个人感觉消费群体主要是怀旧的观众，碟数少了（掐头去尾的手段都用上了）可能价格也容易降下来。整体质量虽然不高，在正版里定价好象还算便宜的。6. 平时看美国大片的dvd比较多，连韩国新出的电视剧茶母dvd也做成了可变宽银幕。国内dvd的制作还有很长的路要走啊。,41,1,5,E,0
68,非常完美的展现了甘地传奇的一生。给我的启迪非常多。,9,1,5,E,0
69,我已经在其他网络试听过，极喜欢佛教音乐的悠扬，也喜欢黑鸭子的声音，珠联璧合，希望早点拿到碟子。,88,1,5,E,0
70,很好看。,52,1,5,E,0
71,休闲中修炼真心，聆听中重温童年！,17,1,5,E,0
72,看完，至少有3处被删。1.武器展会上商人兜售中国导弹的一幕，经典台词“中国产得导弹，已经很旧，但还是可以用来打打民航客机”。2.尤里从中国边境偷运军火，贿赂中国边防哨兵，经典台词，尤里生硬的中文“我比较喜欢打枪”。3.最后的字幕，“世界上最大的军火出口国，美国、俄国、法国、中国，同时他们也是联合国安理会常任理事国。”。其实我看不出这些内容怎么诋毁了中国。总是这样删删剪剪，让人怎么能提起兴趣买国内的正版，太寒心了。,2,0,5,E,0
73,"专辑制作得不错,歌也很好听,看得出是下了功夫的。加油！",86,1,5,E,0
74,对于育儿来说还是不错的一本书,80,1,5,E,0
75,昨天中午收到，很不错的玩意，看图片感觉很大，可是实物很小。拿着很方便。,43,1,5,E,0
76,我前几天买了此DVD9光盘《地球无限完整版》，在我的LG-DVD播放机上，不能播，请告知这是为什么。,13,0,5,E,0
77,我以为是引进的岩井俊二的花与爱丽丝，原来又是搞的看似华丽的破烂货。。哎。气死了,47,0,5,E,0
78,"对佛学很敬仰,但目前才看了1/3,去年买的!!",72,0,5,E,0
79,发行商也太胡凑了,29,0,5,E,0
80,"1.这是一套值得推荐的音乐欣赏讲座类型的音乐,适合大人及有理解能力的孩子收听。此前我已用nicollguo发表了评论“非常不错.播音员甜美的声音深深吸引着孩子和大人.我的女儿11岁,每天睡前要求我播放着;早晨用音乐唤醒她.音乐使她身心愉快.这种形式的音乐熏陶犹如润物细无声.非常感谢此套音乐碟的制作者!”2.有的朋友想购买胎教音乐，建议你购买“越听越聪明”系列，音乐轻快、活泼，且不贵。我当时购买这套20张的CD，VIP价格370元并赠送了4碟装的“越听越聪明”（价值60元）。3.给经营者的话:在JOYO强烈推荐此套作品同时，建议JOYO不要见销路好就一味提价！保持消费者及潜在消费者的购买热情!",56,1,5,E,0
81,不好  都没用,84,0,5,E,0
82,送来的碟片盒子是划破的 真遗憾 卓越在这方面得多多改进啊！！,42,1,5,E,0
83,购买了此款音响，效果极差，卡座只有单声道，致电卓越网售后，态度冰冷，大有拒之门外之嫌，月余尚未处理，等不到回复，非常失望，等待解决！！！,69,0,5,E,0
84,不错！！！,10,1,5,E,0
85,我们国家要是能用投资大片的资金的一部分拍这样的电影多好,14,1,5,E,0
86,只有这样的音乐才是真正的好音乐。,97,1,5,E,0
87,强烈要求退货！！！根本听不到唱戏的声音，全是二胡的声音。而且演到一半的时候还出现的双音轨，跟山谷里听回音呢？从电影院里盗的吧，说话全是回音，完全看不了。什么盗版光盘呀，强烈要求退货，原来广州市得金文化传播有限公司也是做盗版盘的呀。不信拿回去你们自己听听！！！,95,0,5,E,0
88,除了解说都不错,45,1,5,E,0
89,和当初预想的不一样，显示屏分辨率差。搜星功能差，在家的窗口手机都是满满的，他竟然没有信号。双版地图已经把2G卡塞得满满的了，想存点东西还要重新买卡,76,0,5,E,0
90,"是英文的,没有序列号,是不是盗版吗",46,0,5,E,0
91,"跟本无法安装,是盗版的吧.",65,0,5,E,0
92,这个机器，功能太少没有连拍功能存储特慢，一般拍完后要等2秒才能继续拍没有数字变焦功能双倍防抖功能太差,92,0,5,E,0
93,网站上写的配音和字幕是国英双语，实际收到的只有国语配音,59,0,5,E,0
94,本来以为买错了的，听着发现歌都很不错，歌手声音很nice很容易接受,51,1,5,E,0
95,说实话，自己心里也很犹豫。因为《玉簟秋》和几篇早前写的番外的缘故，把以前的思路透露了很多。我曾经说过，《玉簟秋》是写得比较草率的一部作品，而且局限了我现在很多的思路。而随着四、五两本书的展开，把自己以前很多的想法给推翻了，包括清、浣碧、甄嬛的最后结局以及赫赫的介入、雪魄的出生，和新增加的一些人物。而很多读者的想法，也给了我许多新的启示，譬如浣碧的出嫁与否，澈的出生问题。 写《甄嬛传》已经写了两年多了，从我大学一直到现在，笔下的人物就像是自己身边的人一样，常常做梦也会梦到。虽然我立志想做一个后妈，但对于清的死，甄嬛的死，哪怕陵容也好，皇后也好，都不忍心写到绝地去。 《后宫5》写了很久，原因也是在写清和甄嬛的诀别时停了很久无法下笔，久久写不下去，甚至不愿意去回想。 所以《后宫5》的最后，只写到了陵容失宠，甄嬛封淑妃，皇后与甄嬛平分秋色，算是一个结局吧。毕竟后宫，从来没有真正的赢家，也没有“恶人必死，好人必有后福”的故事，人人都不过是一个戏子，一个身不由己的沉沦者。 而写了那么久，自己也很想休息一下了。所以手头只想把以前文中的BUG改掉，再以后的故事，暂时还没有动笔的打算。 也感谢你们，一直以来的支持和关怀！谢谢！,35,1,5,E,0
96,原来这本书网上给出的价格大概在50几块左右，而且一直没货物，现在一下提高这么多，卓越不诚实！！！！！！！！！,67,0,5,E,0
97,感觉不像现场收音，有点遗憾,39,0,5,E,0
98,用着还不错，刚买不久过段时间才知道好坏,49,0,5,E,0
99,大家不要买了，在SP2和SP3系统上安装好后无法进行游戏，一进游戏马上黑屏，没法解决问题，我现在后悔了，大家不要再上当。除非你用98系统。,74,0,5,E,0
