标题/微博内容,round,result,id,group,label
英文就叫南朝鲜，中国以前的属国，日本以前的殖民地，现在生活在美利坚合众国的屁股下，自诩为“大韩民国”，不过这个称呼只有中国人民才会这样叫！！！民间称呼：高丽棒子！     这是一个自恋、自夸、自吹自擂的民族，喜欢吹牛和盗窃！对中国，盗窃历史！对欧美，盗窃技术！     这是一个喜欢自相残杀的民族，两边都不亦乐乎！彼此鼓吹自己是最优等的民族（估计，只有希特勒才会如此自恋）！！！     这个民族，喜欢欺压善良的中国人！在亚冬会上，举起“长白山是韩国的”标语，在汉城的小商店里，广告牌上写着“中国人不要触摸”，。在汽车专卖店外面，写着“中国人不许进入”，更有甚者，一个宠物商店广告牌上，印着天安门，可是两边的标语换成了朝鲜蝌蚪文，中间毛主席的头像居然是一只白狗！！！！ 我不明白，为什么中国人要哈韩！,4,0,4,A,0
这个手机市场价也就400  能卖到这么多 真牛,5,0,4,A,0
这个还好啊。,6,0,4,A,0
"首先,不能DVD播放,因为里面全市RMVB格式!第二,音质差,单声道不能改!第三,画质差,录像自电视的,还压缩,效果可想而知其他没什么好说的了,没买过的不要买",7,0,4,A,0
支持KOBE  支持卓越,8,0,4,A,0
一点用都没有，差不多只是简单的软件介绍,9,0,4,A,0
是冲着待机时间长才买的这部手机。在充分放电、充电很多次以后，在信号很好的环境下，一周一到两个电话左右，每次电话不超过2分钟，每天短信不超过5条：也只能待机不到7天。出差回到北京后，基本上冲一次电只能用4天左右：一天平均1到两个电话，每天短信5条左右。很令人失望。注意到电池上的系列号与装箱单不符。而且电池是哈尔滨产的。不知道跟这个有没有原因。此外被很多人诟病的音乐播放不能设成后台播放的确非常讨厌：必须中断音乐播发才能看短信！,10,0,4,A,0
1、送货快2、纸张印刷有点粗。3、内容看了再说。,11,0,4,A,0
买这个东西都快把人气死了，快递态度奇差，真不晓得卓越这么大的公司怎么会找素质这么差的快递，不会是图便宜吧，如果是这样，我会告诉我认识的所有人再也不要买卓越的东西。我买的是磁带，回家一听 更气，质量也是一样的垃圾，八个磁带有三个是完全不能放出声音的，卓越这种品质，我想也做不了多久了！！！！,12,0,4,A,0
RT，如果送的话就定了。汉之云和幻34都送海报和预购卡呢~,13,0,4,A,0
"我是2月26日订购联想S660黑色价格1197.8元,3月6日收到货,今天一看卓越价格下调到1186.8元,手机好用,价格变动快,可心情正在郁闷中!",14,0,4,A,0
不好懂，感觉逻辑顺序不太清楚，不知道作者想要表达什么观点。以后打死都不买这类的书了，感觉跟天书一样。读百本书，不如好书读百遍。有种想把这本书立马扔垃圾桶的冲动。,15,0,4,A,0
2次都这样了，究竟是有货还是没货啊,16,0,4,A,0
我上周买了一套送给我外甥，昨天他告诉我说，其中有一半由于激光没打上，根本读不出，建议别人不要再买了！,17,0,4,A,0
歌和伴奏都不错，就是遗憾的是不是原唱，效果大打折扣,18,0,4,A,0
买的DVD，好后悔，应该买VCD的……,19,0,4,A,0
我不了解大家讨论的什么第1版Y线，错版，双TITLE什么的，单从影片来看，绝对正中我的胃口，正片有4条音轨，弘艺对此碟做得不错！,20,0,4,A,0
我于09年4月下旬买了<<生产制造型企业内部培训体系建立>>(主讲 许盛华)共四张光盘。谁知道，放在电脑中一打开才发现，首尾两张盘居然是空白盘！我觉得此事严重影响了卓越网在我心目中的形象。我觉得自己对卓越一直以来的信赖受到的严重伤害！我不清楚卓越网是否看到了他一直以来最忠实的客户的信赖在哭泣！,21,0,4,A,0
"KID的经典作品,给人一种夏日的热烈和秋日凉爽的回忆.",22,0,4,A,0
看起来不错！要是我就选英文版！,23,0,4,A,0
刚拿到碟，连看了两遍，每一个瞬间都很精彩，确实是试音的首选！最喜欢亨德尔《水上音乐》选段，英国协奏团是坐在船上点起蜡烛，戴着17世纪的假发，用巴洛克时代的古乐器演奏的。船上乐手演奏的音乐高雅而别致，正好与岸边车水马龙的繁华夜景形成了极鲜明的对比。要是能置身船上欣赏《水上音乐》，那真是太惬意了。,24,0,4,A,0
终于来了！一定要买的啊！！！！他们的音乐真的很棒！！！！想给十颗星啊！！！！,25,0,4,A,0
昨天已经是6.9元了，今天正准备和另一本书一起买，突然就升价为8.2元了！！！！,26,0,4,A,0
同时买了VCD DVD两个版本的，发现还是DVD的比较实用,27,0,4,A,0
"虽然讲的还是很简略,但大家的风范非常值得感受.",28,0,4,A,0
请问之前卖什么价钱？,29,0,4,A,0
音乐性很好的CD，很超值，录音效果也不错。推荐。,30,0,4,A,0
越听越喜欢，听着特舒服~~~,31,0,4,A,0
关注卓越上面的这款958太久太久了，但是就是一直没有到货。我哭！！！！！,32,0,4,A,0
东西很好，一家人都抢着玩，连电脑都扔一边了。唯一的缺憾是材质稍差了些。,33,0,4,A,0
虽然已经降了点儿，但是还是贵，锐意才7790.,34,0,4,A,0
拿在手了我那个感动啊~~图片也多~~想粗略了解历史的话已经足够了~就是部分编排有些乱~不过没办法——图多嘛~~呵呵~,35,0,4,A,0
收到的时候没有验货，拿到家一看是破的，郁闷。现在还没使用，不知道效果如何，大家一定要现场验货,36,0,4,A,0
东野圭吾的小说在情节上总是一环紧扣一环，读起来十分过瘾！书中的情感虽然极端，但相当动人。一个眼神，一声问候，可以拯救也足以毁灭一个人。总觉得东野圭吾的小说宿命论很重，所有的一切为什么会发生呢？也许，我们只能将其称为——命运！,37,0,4,A,0
买了无限风尚，很开心的准备玩，结果需要原程序支持，根本现在都没有模拟2的原程序卖了，卓越就没有，也不讲清楚，这不吭我吗，大家都看好了再买啊,38,0,4,A,0
都很好听,39,0,4,A,0
从大学时候开始就非常喜欢亦舒的书，但是这本有点失望！故事有点不知所云，和亦舒早期的作品相比差太远了！买了有点失望和后悔！,40,0,4,A,0
好高兴！要赶快买才行！！！,41,0,4,A,0
我的也没有卡片?怎么回事?卓越有人出来回应一下............,42,0,4,A,0
周六收到的货，这次卓越比以往送货速度都快了很多，比订单里给出的时间提前了两三天，而且书的质量也不错！下面说说这本书吧！我同时还买了《1000个思维游戏》都很喜欢，不过两套叔叔于不同的风格。《让孩子着迷的77X2个经典科学游戏 》确实名实相符，其中有一些自己上学时老师曾做过的类似的科学游戏，现在买来给上小学的孩子看看，有空在一起找家里有的材料做一下，这样不仅能够培养孩子的动手、思维能力，也能引起他对科学，尤其是物理、化学的兴趣！比如把一个空的牛奶瓶里装热水之后倒空，然后快速的把剥了皮的熟鸡蛋小头向下放在瓶口上，来观察：比牛奶瓶口大的鸡蛋会进入瓶内的过程，让孩子了解气压作用的原理！等等。有些理论或原理是用几句话不应定能说清，但是有了直观的操作，会更容易理解一些！,43,0,4,A,0
孩子很喜欢，已经能够跟着光盘说的很好了！,44,0,4,A,0
"10月25号到的货我没有签收,到今天11月6号钱还没退给我,妈妈的,卓越就是一个垃圾",45,0,4,A,0
宝宝非常喜欢，很不错的商品，就是没有用普通话讲解。,46,0,4,A,0
原来只是为了魔笛花腔而买，后来发现都很好听，非常值得，美中不足就是声音有点小，呵呵,47,0,4,A,0
我们70后的，小时候常这类老片子。抽空看看，回味一番。,48,0,4,A,0
这个相机很垃圾,49,0,4,A,0
还不错的一本财务入门书,50,0,4,A,0
按这个价位的产品来说还是不错的，不过讲究质量还是三四为好,51,1,4,A,0
最喜欢看漫画了，更喜欢看搞笑的一直都没发现能让我笑成这样的书桂宝做到了～颜色也好看，线条也好看，内容也有趣～嘻嘻我看 然后给朋友看 然后给我侄女看再然后给我爸妈看....反正快乐在我和身边的人蔓延着喜欢桂宝 喜欢胖狗 喜欢阿芹 喜欢阿玉喜欢小臭贝另外，我用业余时间还临摹了几个桂宝，哈哈感觉不错噢～桂宝的胖脸画起来很好玩！期待第3本和第4本啊～～～阿桂快点画啊～～,52,1,4,A,0
不建议购买。说实话我看完了整本书都没笑，更提不上在笑声中轻松把单词记住。难道是我缺乏幽默细胞？,53,0,4,A,0
相比1和2，3绝对是经典而且水上乐园系列更不用说，好玩！,54,1,4,A,0
和韩国产的没有什么差别的，一样好用！,55,1,4,A,0
为什么我的不显示图像啊？？？谁能帮忙解答一下啊，愁~希望不是产品质量问题啊，我对卓越印象还是很好的说~包装剧本音质都很好，就是没有图像，是我的问题吗？？？希望卓越能帮我尽快解决，好让我继续有信心在这购物啊！,56,0,4,A,0
发现卓越都成了期货交易所了，货品价格每日起伏无常，消费者信心大损。,57,0,4,A,0
订了，又退了，还是感觉不太值得收藏,58,0,4,A,0
内容相当完善细致，讲解深入浅出。算法学习的必读教材之一！,59,1,4,A,0
这本书虽然不厚，里面介绍的面点也够做一段时间的了，而且介绍得很清楚，很容易上手。,60,1,4,A,0
买了三块碟，唯有这块能听，但是音质不是很好，有杂音，以后不再这里买音像制品了,61,0,4,A,0
"怎么回事啊,电邮通知我到货,一来看显示缺货...",62,1,4,A,0
速度很快，包装不行，有磨损，总体还不错~,63,1,4,A,0
最喜欢绿野仙踪^,64,0,4,A,0
还可以下雪呐,65,0,4,A,0
"我最早接触欧美音乐就是听的这张专机,10几年前了,当时买的是磁带,每次写作业的时候,一遍一遍的狂听,这盘磁带早就都听坏了,但让我至今还很喜欢Mariah Carey .她所有的专机中我还是对这张最情有独钟!每次听到里面的歌,我就会回想小时侯,听着我都想哭了~~~",66,1,4,A,0
正是我想要的,67,1,4,A,0
经典 质量不错,68,1,4,A,0
你们的工作效率和态度，很好！,69,1,4,A,0
等很久都没有见过有货了，是以后都停卖了吗？这么好的东西，怎么能够停货呢？,70,1,4,A,0
昨天我刚收到的 ，严重上当， 这款游戏是单机版，也不是中文版，里面也没有汉化包，和上面写的完全不一样，大家不要被这里写的骗了，看来以后不能单看卓越的说明书了，,71,0,4,A,0
起初因为没在优惠价位时购买，而抱怨过。昨天收到后，配送师傅很敬业，二话没说就帮忙送到了楼上，很感动。打开包装后（卓越的包装是所有网购中最好的），接通电源，放入碟片，悠扬音乐响起的一刹那，所有抱怨都烟消云散，很惬意。喜欢这款音响，满足了我的所有要求。购买它，主要是为家中小儿。既可以放碟片，又可以接USB，方便实用，超喜欢。喜欢卓越！再次感谢敬业的配送师傅，谢谢你！,72,1,4,A,0
前两天还是10279的，怎么一下子又11530了？这价格没谱啊！,73,0,4,A,0
海尔手机是垃圾，用售后的话说，买海尔手机是自找麻烦。,74,0,4,A,0
我一次买了两台，结果发现就是一个老年人用的山寨机，不建议年轻哥们再买，国产手机质量与功能与大品牌手机还是相差很大几个档次，以后不再考虑购买国产手机了！,75,0,4,A,0
明显是冷炒饭 商家圈钱的手段,76,0,4,A,0
我买的35， 现在要50,77,0,4,A,0
本书纸张质量极差,78,0,4,A,0
楼上的几位太傻了，不含战网CDKEY也买？网上随便下个镜像就可以玩！,79,0,4,A,0
这本书对于爱猫的人来说，无异于圣典！买来送人很合适，版式很窄，很古怪的一本书，很厚重的感觉，应该还可以！没有打开包装的塑料袋，总的来说，装桢还可以，价钱稍贵！,80,1,4,A,0
"经常黑屏，需要重新开机才能使用，已经在客服中心修好,但才买两个月的手机就坏了,给人感觉不好!!",81,0,4,A,0
没想到自我介绍来了句“比上帝早出生一天”……把我给噎了个翻白眼——上帝是哪天生的啊？说的是耶稣吧。实在不敢相信王小峰竟然连上帝和耶稣都分不清楚。不能容忍写东西为生的人犯这样的错误（跟作家写错别字、用错成语一样令人难以忍受）。以后不看他的东西了，因为看什么都有“比上帝早出生一天”这样一句话在眼前晃……,82,0,4,A,0
还是星云大师的风格，很喜欢。,83,1,4,A,0
片子有问题，播放出来居然没有声音，郁闷！,84,0,4,A,0
"快降价啊!!!!特价我就买,最近听MP3已经很喜欢了",85,0,4,A,0
应该注明是否是带充电的，以及与另一款是否大小不同,86,1,4,A,0
歌是很nice，但没有歌词，感觉就差了很多。我介意joyo 注明英文CD有无歌词,87,0,4,A,0
不错的，速度也可以，噪声小。可以推荐一把的。,88,1,4,A,0
远不是想象的那种.太不值得了.坚决不会再买.,89,0,4,A,0
女儿非常爱听，天天都听，非常喜欢！,90,1,4,A,0
印刷不清楚,91,0,4,A,0
"还不错, 舒畅心情!",92,1,4,A,0
碟片是收到了，可是质量是在是差，换了几台电脑终于放出声音来了，但都有杂音！请问能换货吗？鸿艺的质量不敢恭维！,93,0,4,A,0
不是原唱的，而且没有歌词页。歌曲是重新配乐的，听不习惯。,94,0,4,A,0
我刚买好，也看过了。效果不错喔！送的写真图册，写很灵！喜欢JAY的朋友可以用作收藏！,95,1,4,A,0
虽然是有名的历史录音，但是这个引进版的质量太糟糕了！！不禁让人怀疑灌制者的品味与智商！而且个人还是认为托斯卡尼尼的指挥太过古老了，听着太拘谨，缺乏跳跃的激情！,96,0,4,A,0
终于买到AYU的正版演唱会了!!!好惊艳~~~~~,97,1,4,A,0
最喜欢看漫画了，更喜欢看搞笑的一直都没发现能让我笑成这样的书桂宝做到了～颜色也好看，线条也好看，内容也有趣～嘻嘻我看 然后给朋友看 然后给我侄女看再然后给我爸妈看....反正快乐在我和身边的人蔓延着喜欢桂宝 喜欢胖狗 喜欢阿芹 喜欢阿玉喜欢小臭贝另外，我用业余时间还临摹了几个桂宝，哈哈感觉不错噢～桂宝的胖脸画起来很好玩！期待第3本和第4本啊～～～阿桂快点画啊～～,52,1,1,A,0
买吧！值！！！,98,1,4,A,0
什么时间有货啊？？？？,99,0,4,A,0
物美价廉,100,0,4,A,0
